Patrim.;Nº Série;Sector;Status;Modelo;ID;;;;;;;;
618.000.026;PC0RR0M8;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012618000026;;;;;;;;
618.000.035;PC0V8JBP;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012618000035;;;;;;;;
622.000.068;YJ01BYFN;TECNOLOGIA;Use;LENOVO ThinkCentre M60e;Z20012622000068;;;;;;;;
617.000.123;PC0M1PV5;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012617000123;;;;;;;;
616.000.234;PF-0EQDV8;TECNOLOGÍA;Use;Lenovo Thinkpad L450;Z20012616000234;;;;;;;;
616.000.057;PF-0EQDVH;TECNOLOGÍA;Use;Lenovo Thinkpad L450;Z20012616000057;;;;;;;;
622000070;YJ01BYDX;;Use;LENOVO ThinkCentre M60e;Z20012622000070;;;;;;;;
623.000.093;PW06Q3A7;;Use;LENOVO ThinkPad L14 Gen 4;Z20012623000093;;;;;;;;
623.000.094;PW06Q38E;;Use;LENOVO ThinkPad L14 Gen 4;Z20012623000094;;;;;;;;
618.000.034;…;IT;Use;LENOVO ThinkCentre V520S;Z20012618000034;;;;;;;;
